st,type 
Yarrrr.,Other
hi everone,Other
haha,Other
who 11-09-40sUser39??,whQuestion
.ACTION thinks gas is a worse flaw.,Other
PART,Other
how are ya sweetie,whQuestion
he said i used to op with u in FF i was like  huh who r you,Statement
lmao,Other
hey 10-19-40sUser47,Other
 ;-) ,Other
lmao 11-06-adultsUser53,Other
hi 11-08-40sUser24,Other
well i look different now,Statement
What about the most difficult?,whQuestion
"yep, off to bed.  Night all",Other
blah,Statement
nope 11-08-40sUser68......thats comfy to me :),Other
always needs sweet love,Statement
Only kidding,Statement
les f uk girls only please pm me,Statement
scorpions rock... lol,Statement
What color is your dress?,whQuestion
no fu,Other
11-06-adultsUser105 <33333333333333333,Other
.ACTION gives 11-06-adultsUser115 a blankie.,Other
I meant nothing by my comments,Statement
how are we all?,whQuestion
looks to be case by case 11-08-adultsUser56,Statement
You're stubborn,Statement
yea me,Statement
".ACTION fries up 11-09-teensUser34's fingers and toes, then feeds them to 11-09-teensUser34.",Other
im good 10-19-adultsUser23 dear.   How are you 10-19-adultsUser23 ~winkZ~,whQuestion
Yes she not waking up from surgery,Statement
h 11-08-40sUser55,Other
What do you do to set an example for your employees?,whQuestion
PART,Other
JOIN,Other
I'm in Arkansas too,Statement
why are you back,whQuestion
"I'm telling you bro.. you can like, get laid?  that's awesome.",Statement
.ACTION goes to the corner an plays wif himself......er....by himself.,Other
do you widdle?,ynQuestion
i use to live there,Statement
any f wanna chat,ynQuestion
damn,Other
shes the same way,Statement
Paxil yes...,Other
Can we stay?,ynQuestion
lick me  you fool  lol  ,Other
11-08-teensUser141 is too ^,Statement
 :-) ,Other
evening 11-09-40sUser50 :),Other
have a good night,Other
"Ugh, Im so sore!",Statement
and then some,Other
Why are there only two choices,whQuestion
im gonna be ther monday wanna chase some traffic with me 11-09-20sUser114,Statement
hiya 10-19-40sUser48,Other
you wish,Other
i figured lol,Statement
lol love it 11-08-20sUser69,Other
 .Dew Point. 30.00.in/1016.hPa  .Ceiling:. Unlimited,Other
PART,Other
11-09-40sUser33,Statement
hello all,Other
Ink even 11-06-adultsUser105,Statement
who's a virgin?,whQuestion
hahaha,Other
 .Current. 27?F/-3?C .Wind. 93%,Other
JOIN,Other
What did you do?,whQuestion
i dont know you 11-09-20sUser31 ,Statement
17 m here jush 4 Cute GrlZ,Statement
I thought it was that!,Other
wb 10-24-40sUser42,Other
21/f/oklahoma ,Statement
"What, no access to com in prison. If I was an ex prisoner would u hate me?",ynQuestion
nortenos sucks,Statement
u got kids?,ynQuestion
lmao 11-06-adultsUser105,Other
Anyone wanna talk on the phone?,ynQuestion
JOIN,Other
shit...im missing everything,Statement
aloha 11-09-20sUser146,Other
What was most rewarding?,whQuestion
Well... I'm outta here for now.  TC everyone,Other
who ran off?,whQuestion
PART,Other
What?,whQuestion
why not!!,whQuestion
"how big are them guns, texan??",whQuestion
JOIN,Other
yay!,Other
PART,Other
ok i am back,Statement
Ahh mkay.,Other
not a damn dating service,Other
PART,Other
PART,Other
asl all,whQuestion
ohhhhhh ,Statement
0,Other
he is notme!,Other
JOIN,Other
lol,Other
How did you enjoy that type of work?,whQuestion
agaibn?,ynQuestion
PART,Other
.........,Statement
no,Other
PART,Other
where r u 11-08-40sUser30? ,whQuestion
.ACTION kisses 10-19-40sUser34's booboo and makes it all better.,Other
just cheaking ,Statement
PART,Other
PART,Other
"11-09-teensUser98, holocaust names look like a attempted flooder dont ya think?",ynQuestion
JOIN,Other
PART,Other
10-19-adultsUser15: What's your sign?,whQuestion
gets  10-19-40sUser27  a  pillow,Statement
Wb,Other
JOIN,Other
11-09-40sUser39  im right near Foxwoods,Statement
ask 11-08-20sUser91.. she knows.. she's ma wife,Statement
PART,Other
sup 11-06-adultsUser5,Other
LOL,Other
I'm not in the back room!,Other
11-08-teensUser169 (11-08-teensUser169@11-08-teensUser169) was last seen being kicked by 11-08-teensUser111 only 21 seconds ago.,Other
duh,Statement
PART,Other
PART,Other
.ACTION loves men out of uniform.,Other
"Describe a situation in which your department experienced a major backlog, or the threat of one.",whQuestion
JOIN,Other
JOIN,Other
grettings 11-09-20sUser156,Statement
michigan sucks,Statement
dang .... we appreciate 60 degrees here in MD 11-09-40sUser52 ;),Statement
.ACTION looks at 11-06-adultsUser105.,Other
hello 11-09-40sUser55,Other
lmao 11-08-20sUser21,Other
JOIN,Other
im gay.......im happy as hell......jus aint #### lol,Statement
hey 11-09-40sUser30,Other
"well, glad it worked out",Statement
did 11-08-adultsUser3 give you those 11-08-adultsUser102?,ynQuestion
"You remember Jess, 10-19-adultsUser32?",ynQuestion
"11-09-teensUser98, 11-09-teensUser164 is going around asking for ""P.ussy""",Statement
lol,Other
will you fuck me if i cry?,ynQuestion
who is he 10-19-20sUser6?,whQuestion
PART,Other
not italy?,ynQuestion
been there plenaty of times,Statement
any hot sexy guys wanna chat pm me,Other
hi 10-19-40sUser44,Other
"ohhhh damn,,,, i  have been cast aside??",ynQuestion
i got blue blood,Statement
any guys wanna chat?,ynQuestion
What are your expectations of your co-workers?,whQuestion
JOIN,Other
JOIN,Other
we had a little trailer just on the other side of the coastal highway in Ocean City MD for a few years .... and every night you had to wear earplugs to fall asleep .... buses ran right outside our place .... listening to the sound of brakes going Cheeeez .... and Vroooom ..... was not much fun,Statement
thanks 10-19-20sUser7.. Im happy to have my fiance here!!,Other
did ya 11-09-40sUser7?,ynQuestion
wb 11-06-adultsUser26,Other
<<<never even been arrested lmao,Statement
ok,Statement
PART,Other
lol 11-08-20sUser65,Other
how long does it take for a bottle of rum to refill itself?????,whQuestion
?,Other
JOIN,Other
hi 11-06-adultsUser67,Other
Was the book read?,ynQuestion
 lol@lucifuge,Other
"who sang  ""Hey won't you play another somebody done somebody wrong song?",whQuestion
omnious,Statement
.ACTION is listening to .Dokken - In My Dreams. ...,Other
aww - thanks,Statement
NICK :11-09-adultsUser22,Other
a kid with downs syndrome walks up to an ice cream van.......,Statement
PART,Other
Hello,Other
eh i dont get around enough to give anyone anything,Statement
11-08-20sUser91 give me a chance,Statement
"10-19-40sUser34 is on his 10th cup o coffee, lol",Statement
JOIN,Other
JOIN,Other
there there,Statement
got it,Statement
How’s your new job?,whQuestion
Isn't she cutes,ynQuestion
it is all good 10-19-30sUser17 call me what u like just not late for date or dinner lol ,Statement
i need meds like that now 11-08-adultsUser56,Statement
LOL,Other
hi 10-19-40sUser58,Other
hey 10-19-30sUser9...you married?,ynQuestion
10-19-40sUser55,Other
Hey 10-19-30sUser9,Other
lol,Other
haha,Other
wooo,Other
you want to chat 11-06-adultsUser49?,ynQuestion
wow ,Other
so where is everyone from?,whQuestion
oh my,Other
PART,Other
11-08-40sUser58 LOL,Other
im litening to music 11-09-adultsUser72 and watching,Statement
PART,Other
11-08-adultsUser102's here?,ynQuestion
cool,Statement
<<<<<< blank pages,Other
lol 11-06-adultsUser64 ...you'd be surprised how many m/f questions I get in whisper :,Statement
PART,Other
lmao 11-06-adultsUser53,Other
JOIN,Other
byb,Statement
JOIN,Other
that sounds freakishly like dr seuss,Statement
Poor 10-19-20sUser121,Statement
hi 11-09-40sUser52,Other
.ACTION video tapes.,Other
11-09-teensUser104!!!!!!!<333333333,Other
music out here please,Statement
shakin,Statement
hi 10-24-40sUser54,Other
JOIN,Other
"Oh, so what about UFC 11-09-20sUser114?",whQuestion
are you capab;e?,ynQuestion
JOIN,Other
.ACTION .Mp3. ..(..2Pac - Until The End Of Time .-...)... - S.M.R.<3.,Other
any goths ,ynQuestion
Describe a time when you worked with a group of people to complete a project.,whQuestion
JOIN,Other
Who wants to be a scientist in the future?,whQuestion
XXXXXXXXXX can I pm you,ynQuestion
how r u doing?,whQuestion
Hi  10-19-40sUser30 ,Other
hi 10-19-40sUser53,Other
ha!,Other
JOIN,Other
OK I DON'T KNOW WHO IS GOING AROUND TELLIN GUYS THAT I HAVE A BIG BOOTY. ONE NONE OF YALL AIN'T EVEN SEEN MY BOOTY AND NONE OF YOU WILL. SEE MY BOOTY. SO IF YOU HAVE SOMETHING TO SAY DON'T RUN YOUR MOUTH COME AND SAY IT TO MY FACE CUZ THAT IT JUST SHOWS YOUR NOT MAN OR WOMAN ENOUGH.,Statement
"sex, drugs and rock n roll",Statement
lol 11-09-adultsUser44,Other
huh?,whQuestion
I want to ensure the rights of gays to have abortions,Statement
right field wrong park lol j/k ,Statement
any little hotties wanna get dirty?,ynQuestion
!20,Other
It sure is dead in here right now,Statement
a baby with a razor blade,Statement
heya 11-08-40sUser66!,Other
 .Temp. 76%    ,Other
LMAO,Other
no ball talk,Other
"Ugh, I'm so suprised I haven't coughed up my lung yet",Statement
She escaped quick.,Statement
JOIN,Other
Dr. Drew rocks,Statement
wb 10-24-40sUser44,Other
10-19-adultsUser35,Statement
here,Statement
you're gay.,Statement
lmao 10-19-30sUser17... go figure you'd think that was about you,Statement
whats up guys,whQuestion
JOIN,Other
JOIN,Other
.ACTION gives 11-06-adultsUser41 a gift!.,Other
ahhhh memories,Statement
PART,Other
<--- adjusts her halo,Statement
h 11-09-40sUser18,Other
"11-08-40sUser18 .... Maybe before your time but.... Who sang ""In The Ghetto""?",whQuestion
heyyyyyyyyyy 11-08-adultsUser65 honey *smewchies*,Other
Don't drink and drive!  Smoochies everyone!!,Other
.ACTION has a single header built in.,Other
PART,Other
Does anyone here know 11-09-teensUser120?,ynQuestion
What did my toes do?!,whQuestion
JOIN,Other
tc 11-06-adultsUser53,Other
the strange the weird and the driveby pmers,Statement
its 30 10-19-adultsUser32 trust me lol,Statement
always so nice to coem in,Statement
.ACTION is scared.,Other
JOIN,Other
JOIN,Other
west of Albany,Statement
waves slowly rolling up the beach,Statement
will you take over the room pervin fir a minute so's i can try ta git in trouble fir pm'n?,ynQuestion
LMAO damn it 11-06-adultsUser105! ,Other
i thought my name was shit head for a long time,Statement
JOIN,Other
:-@,Other
JOIN,Other
how old are u 11-09-teensUser172,whQuestion
hey 11-08-adultsUser92,Other
smackthat by akon?,ynQuestion
i do not like to judge anyone 10-19-30sUser37,Statement
&^Yes i would 10-19-30sUser12,Other
but seeing as i have all my claws.. i go where i wanna,Other
u got a good catch:),Statement
hi 11-08-20sUser40,Other
lol 10-19-30sUser25,Other
PART,Other
.ACTION hugs 11-06-adultsUser115.,Other
JOIN,Other
PART,Other
:),Other
not fast enough 10-19-20sUser116,Statement
Its the time of sexual things,Statement
cuz its law...,Statement
PART,Other
:( 11-06-adultsUser29 left me all maddish,Statement
erm,Other
allow me to be the judge thank you very much....lol,Statement
18/m pm me if u tryin to chat,Statement
You guys should definately check it out because ontop of the video games kellogs is giving out free 30 day gamefly subscriptions,Statement
secret room,Statement
PART,Other
lol,Other
wb 11-06-adultsUser19,Other
"omg 10-19-adultsUser23 which color of lipstick do you think would look better on me the ""do me red"" or the ""pussy pink"" ",whQuestion
PART,Other
any cali guys in here??,ynQuestion
Does she like to work here?,ynQuestion
Hi 11-09-40sUser11,Other
yup i kicked his ass,Other
so 11-06-adultsUser88 - why no pic,whQuestion
What is the most difficult writing assignment you have undertaken recently?,whQuestion
What kinds of problems did you have writing them?,whQuestion
watch him 10-19-20sUser6,Statement
!smooch 11-08-20sUser65,Other
ahh and she didn't invite me!,Statement
PART,Other
.ACTION trying to keep me spirits up.,Other
lmao!!!,Other
the short bus here already?,ynQuestion
11-06-adultsUser105,Statement
PART,Other
I missed that.,Statement
yeah it can be ,Other
i ll get you a more current one :-o ,Statement
hi 11-09-20sUser134,Other
hi 10-24-40sUser14,Other
PART,Other
oh you meant your other lover....lol,Statement
11-09-40sUser34  ,Statement
thanks 10-19-40sUser25...oh you do give a damn.,Statement
i saw the break up....awesome movie,Statement
.ACTION sits on 10-19-20sUser68's lap.,Other
PART,Other
PART,Other
11-09-40sUser27  that why we  got a pool ,Statement
a vega....lol,Statement
hi,Other
any females in here from pa,ynQuestion
.ACTION hugs 10-19-20sUser20.,Other
okey dokey back to worl,Statement
Whom are you going to invite?,whQuestion
JOIN,Other
.ACTION is now losted.,Other
ooo a scorpion,Statement
.ACTION cums to 10-19-adultsUser28. .LMAO.,Other
PART,Other
JOIN,Other
lol 11-08-adultsUser65,Other
afk a sec,Other
ok,Other
JOIN,Other
JOIN,Other
yer in muh new room!!!,Other
PART,Other
tisk tisk??????,whQuestion
PART,Other
PART,Other
do or die,Other
heya 11-09-adultsUser24,Other
JOIN,Other
i had this one art teacher   ms xxxxxx   oooh lala,Statement
:) hi 10-24-40sUser6,Other
"Finger.. Deep within the borderline.. Show me that you love me, and that we belong together... Relax.. Turn around.. And take my.. Hand.. ",Statement
PART,Other
Describe a time when you had to communicate information in a difficult or awkward work situation.,whQuestion
lol,Other
i've already put in 32 hrs in 3 days this week,Statement
What makes working here interesting to you?,whQuestion
Whose book is on the table?,whQuestion
lol,Other
a bag full o beans,Statement
If anyone removes that wildcard ban i'm going to go off on them. I'll know who it was too.,Statement
i am like so good,Statement
aloha 11-09-20sUser147,Other
besides 10-26-teensUser45 who is my friend,Statement
i am going to hawaii tommorrow,Statement
any ladies wanna chat with a 21 year old virgin male,ynQuestion
lmao no 10-19-20sUser115,Other
bye 10-24-40sUser11,Other
imma make fun of his moped now,Statement
better SSRI's out there girl,Statement
JOIN,Other
JOIN,Other
mauh!!!!!!!!!!!!!!!!,Other
PART,Other
JOIN,Other
Ummm 11-08-20sUser54 cut off your balls and swallow mmmkay and please choke if that does not kill you just drink some bleach you will go fast I promise,Other
"Paxil, all antidepressants for that matter take at least a few weeks to work",Statement
hey 11-08-adultsUser7,Other
yeah,Other
JOIN,Other
JOIN,Other
dr phil said so,Statement
JOIN,Other
eh..?,whQuestion
"yup , gonna be a good riding day",Statement
omg,Other
JOIN,Other
.ACTION finds 11-06-adultsUser5 in the corner.,Other
PART,Other
hiya 11-08-40sUser48,Other
ok..im back,Other
someone play with me,Statement
i had to shut the tv off... too much noise about nothing but stupid political ads... good grief,Statement
Same here,Other
any chics here like italians ,ynQuestion
.ACTION is <3 all ovr.,Other
Am I at the correct location?,ynQuestion
goodnite,Other
Will you come with me?,ynQuestion
JOIN,Other
11-08-20sUser104 kinda likes that idea,Statement
true...lol i just did,Other
LMAO 11-08-adultsUser53,Other
by any chance?,ynQuestion
 :tongue: ,Other
awwwwww,Other
PART,Other
Hey there 11-09-40sUser15.....lol,Other
spread em,Statement
1 day we will be......,Other
chit,Statement
wow must be lunch time ,Statement
ha,Other
ty 11-06-adultsUser115,Statement
JOIN,Other
.ACTION smack 11-08-40sUser18.,Other
;sunshine is always nice,Other
O.k.,Other
"Yes, 10-19-adultsUser37 - Obviously =)",Other
okay.,Other
Do they speak English?,ynQuestion
JOIN,Other
.ACTION is in Ontario...CanEhda .,Other
lol im not eskimo,Other
PART,Other
When will the train arrive?,whQuestion
good luck 10-19-40sUser53,Statement
myspace is the devil,Statement
When can I see you again?,whQuestion
:-o,Other
"there are always bugs and glitches, it might not work on your hardware.. blah blah blah",Statement
>_>,Other
'iamahotnipwithhotnippics,Statement
whoopZ  slipped,whQuestion
10-19-30sUser9 seems to know all the right buttons to push;-),Statement
How did you gain the technical knowledge you needed to do your job?,whQuestion
PART,Other
any girls out there wana chat pm me,Statement
10-26-teensUser66 are you a girl?,ynQuestion
hello all this comp is freaing me out,Statement
Hi 11-09-40sUser15,Other
thanks 11-08-adultsUser7 and 11-08-adultsUser35 (dahlin),Statement
i love....................,Statement
:P,Other
10-19-30sUser31...you're handing out pictures?,ynQuestion
hey,Other
Whom was Jim talking to?,whQuestion
and i know you dont 11-08-adultsUser35 Chica,Other
lol,Other
"just joking 11-09-adultsUser22, just finish yout whereabouts",Statement
PART,Other
i'm in IM,Statement
:-o,Other
take it elsewhere,Statement
JOIN,Other
JOIN,Other
JOIN,Other
10-19-30sUser3 whaaaaats up in ohio?,whQuestion
What did you get out of them?,whQuestion
JOIN,Other
ball player fer da st louis cardinals ,Statement
JOIN,Other
JOIN,Other
lol,Other
"I am not a bisexual man, but I am seeking some (equal opportunity) conversation with a male or female capable of sustaining an intelligent chat without any humor. A nyone interested? don't boot me either.",Statement
I'm stealing that line,Statement
PART,Other
eww eeww eeewwwwww,Other
!hug 10-19-20sUser115,Statement
yeee haw 10-19-20sUser30,Other
Holy crap,Other
me too 11-06-adultsUser1,Other
there is not!,Other
hi ya 10-19-40sUser3,Other
and,Other
JOIN,Other
hey,Other
nice1 11-09-adultsUser72,Statement
ck,Other
What impressed you about it?,whQuestion
PART,Other
hi 11-09-20sUser156,Other
"ehh, why dont people talk to me anymore",whQuestion
0o,Other
what happened last night?,whQuestion
PART,Other
JOIN,Other
whatcha listening to 11-09-adultsUser11?,whQuestion
you I hate you say..,Statement
PART,Other
JOIN,Other
dude stop saying that,Other
like dude,Statement
not me,Statement
Will you help me?,ynQuestion
"pumpkin, 11-09-40sUser19",Statement
HHEEYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYY,Other
lmao........ not many can,Statement
yay!,Other
i saw the whole thing,Statement
"well ya already said ya saw me nakey, so can we be nakey together?",ynQuestion
flirting,Statement
during the day,Other
and you live where now 10-19-30sUser37?,whQuestion
lol,Other
JOIN,Other
could well at least he'll remember his first fuck,Statement
JOIN,Other
poooland,Statement
PART,Other
Hard to read a book if you never  open the cover,Statement
JOIN,Other
so are you 11-09-adultsUser0 withing some decades,Statement
bi or lez gurls pm me,Statement
JOIN,Other
But I'm not gay lol,Statement
Where’s my bag?,whQuestion
oh,Statement
"11-08-20sUser69,",Statement
why is 10-24-40sUser37 grrrrrring?,whQuestion
i'm well funny,Statement
O.K>,Other
 :-) ,Other
you have to make more than I can spend !,Other
conway,Statement
you keep passin' me around it's gotta stick sometime... lmao,Statement
I am innocent!,Other
i love you,Statement
JOIN,Other
PART,Other
beleive me,Statement
.ACTION waits.,Other
Describe a project or idea you originated.,whQuestion
Do you drink coffee?,ynQuestion
slkfjsldkfjs,Other
PART,Other
.ACTION sits with 11-06-adultsUser5.,Other
10-19-20sUser109 i dont cyber darlin ,Statement
sue......why not......lol,Other
haha,Other
his tory,Other
=/,Other
Oh I've heard of it!,Other
yes it sucks 10-19-40sUser46,Other
11-08-20sUser114,Other
is AFK fer a few,Other
LoL yeah,Other
I was actually very surprised that so many people have been on these things.. ,Statement
his PM's............. 10-24-40sUser10.....>LOL,Statement
JOIN,Other
hi,Other
How do you deal with these?,whQuestion
Froogle,Statement
JOIN,Other
tc 11-09-adultsUser72,Other
( not 11-08-40sUser58 boo hoo),Statement
Hi 10-24-40sUser41,Other
no one wants to see me neked,Statement
JOIN,Other
hehe,Other
sexy is just a bonus at this point in my life.....lol,Statement
evening 11-09-40sUser52 :),Other
JOIN,Other
they are overplaying,Statement
hey 10-19-40sUser6....no pm....,Statement
so.. where from 10-19-40sUser11?,whQuestion
does that make me old,ynQuestion
whos talkin shit to u,whQuestion
11-06-adultsUser5 is nakey?!?! :-o,ynQuestion
:(,Other
11-09-40sUser35.. im 11-09-40sUser18 wasMsUtah,Statement
 ;-) anything for u 11-08-40sUser6,Statement
wahoooooooski,Other
PART,Other
ouch.......close your legs and we'll both be able to breath,Statement
you filthy boy,Statement
most of us cris-cross,Statement
wanna help?,ynQuestion
PART,Other
.ACTION looks at 11-09-40sUser55  .. .,Other
oh,Statement
Paxil = danger!,Other
lmao,Other
.ACTION * Shinedown - Save Me.mp3 .(..(.vMp3 vi.p.t.)..)..,Other
well.........tonights a new night 11-08-40sUser48,Statement
PART,Other
ahhhh I see,Statement
"he 11-08-40sUser50, 11-08-40sUser40",Other
hi 10-19-40sUser11 ,Other
JOIN,Other
well off to porn sites for release of life,Statement
if that's how they spell it,Other
it's raining,Statement
right back at ya,Statement
thanks,Statement
look what the cat dragged in,Statement
hey room,Other
any guys wanna chat pm me,Statement
lol,Other
its worth a shot i guess.,Statement
<empty>,Other
(((((11-08-40sUser19)))),Other
its rather nice out today .. but yesterday was terrible,Statement
wb 11-08-40sUser40,Other
forwads?,whQuestion
beautiful day here ,Statement
Would you have done anything different?,whQuestion
puff puff pass to 11-09-20sUser72 ,Statement
"Always remember that no matter where you go, there you are! ",Other
let's get kicked,Statement
Have you ever recognized a problem or opportunity before anyone else?,ynQuestion
come on then,Statement
haven't been eating too much..,Statement
you're so hot 10-26-teensUser66.,Statement
Oh just fucking ignore me then!,Other
sounds kinda conceited to me,Statement
great to see you again,Statement
2,Other
u bet 10-24-40sUser6,Statement
oOo,Statement
and a real woman never asks,Other
Really,ynQuestion
hi 10-24-40sUser16,Other
Hey wazz up anybody from tacoma WA,ynQuestion
brat,Statement
PART,Other
LOL,Other
double o0,Other
PART,Other
oh.,Statement
Who do you like the most in this class?,whQuestion
ahhh.just havin a lil fun 11-08-40sUser2............smiles,Statement
10-19-30sUser41 i am fine,Statement
lol,Other
JOIN,Other
JOIN,Other
<< single parent too ..,Other
cali is better,Statement
JOIN,Other
Hey You,Other
PART,Other
JOIN,Other
hmmmmmmmm thinks about this,Statement
PART,Other
JOIN,Other
lol. the tongue!!!,Other
JOIN,Other
]:),Other
.ACTION cries .,Other
making love to you,Other
PART,Other
me,Statement
well i guess ill leave,Statement
11-06-adultsUser19 u missed me farting a green cloud of burito dust,Statement
JOIN,Other
Hey Daveeee coonarsee,Other
ok here 10-19-40sUser45 . thank you for asking ....... how are you ?,whQuestion
lol,Other
.. exactly.,Other
"""youre dead to me""...",Statement
lol,Other
leave the cat home!,Other
"hmmm... for a 14-19 chat, 11-08-teensUser169 doesnt seem to fit in, does he?",ynQuestion
lol 10-19-adultsUser16  hiYas ,Other
11-08-teensUser169...your way to old...,Statement
:P,Other
really 10-19-30sUser17??? geeze,ynQuestion
EVERYTHING was red,Other
lol 11-09-adultsUser0 that just reminded me of my trip to deleware when i was a kid,Statement
lol,Other
wb 10-19-40sUser7,Other
thanks 10-19-40sUser11!,Other
ty 10-19-adultsUser35,Statement
PART,Other
JOIN,Other
if you didnt know yet,Other
bye 10-19-30sUser21,Other
JOIN,Other
do we really need to go there..lol,ynQuestion
lol,Other
11-08-20sUser20,Other
((((((((((10-19-40sUser34)))))))))),Other
JOIN,Other
oh right my bad,Other
heh,Other
cause I felt like it dangit,Statement
PART,Other
"Hello 11-09-adultsUser45 , welcome to #talkcity_adults ! .4Please ask in the main room before Private Messaging others!. You can find our rules at http://forums.talkcity.com/tc-adults/start Thanks for joining us!",Other
ok who sang reach....1996?,Other
.ACTION * Pearl Jam - Better Man.mp3 .(..(.vMp3 vi.p.t.)..)..,Other
yw,Statement
lmao 10-19-20sUser7!!!,Other
eeek,Other
I grew up in OC 11-09-40sUser49,Statement
how are ya 11-08-20sUser31?,whQuestion
10-19-30sUser28...did you and 10-19-30sUser9 hook up and are now having a party of your own?,ynQuestion
party hair??? seriously? lmao,ynQuestion
hi 10-19-30sUser23,Other
hi 10-19-40sUser35,Other
JOIN,Other
no 11-08-40sUser18...,Other
.ACTION is re-thinking the re-think .,Other
!hug 11-08-20sUser42,Other
i love each and everyone of yall,Statement
don't worry babe i'm not leaving you,Statement
pleaseeeee 11-08-40sUser38,Statement
is the lady with no hair still around.....lol,ynQuestion
ducking,Statement
<cali farmer,Statement
11-09-40sUser22  they vanished for a long time .. and now they are back .....,Statement
JOIN,Other
maybe we're too old,Statement
that is ruff,Statement
I'm off tomorrow night then I work 12 on Sat and 12 on Sun,Statement
"hi 10-19-40sUser11 , 10-19-40sUser29 ",Other
JOIN,Other
PART,Other
lol 10-19-30sUser25... wb,Other
"ok ""exchange fluids"" kinda like a car thing",Statement
i need a e-husband.....lol,Statement
Hi 11-09-40sUser33,Other
hell ya....11-08-40sUser7,Statement
Does he want to stay?,ynQuestion
" .Fort Wainwright, Alaska. -- 3.  2:55 PM AKST",Other
PART,Other
How much did it cost?,whQuestion
11-08-adultsUser95,Other
rather dance with me 11-09-20sUser114,ynQuestion
nothing only cheking,Statement
JOIN,Other
:P,Other
nice,Statement
brb,Other
lmaoo,Other
thanks :-) ,Statement
PART,Other
im a single parent ,ynQuestion
lol 10-24-40sUser21  me too,Other
hey 11-09-20sUser34..too good for wiltshire?,ynQuestion
hi 11-08-40sUser30,Other
yes i am,Other
lol,Other
"NOTICE 11-08-adultsUser13 to #talkcity_adults, To get your own game/control bot for your chat room please contact Dawnstar Visit http://www.shadowbots.com",Other
 neither am i just drugs,Other
.3(((((..6 11-06-adultsUser99 ..3))))),Other
sometimes,Statement
.ACTION wonders if they sell the mising socks @ pet stores.,Other
hi 11-06-adultsUser51,Other
we are getting the cyber msners,Statement
hi 11-08-40sUser53,Other
look on the opener i am here first,Statement
hi 11-08-40sUser19,Other
anybody here know how to play heartbreaker on the electric guitar?,ynQuestion
:O,Other
brb,Other
whos the game against?,whQuestion
get it here!,Other
lmao 11-09-40sUser48,Other
*pushes 10-19-adultsUser47..and runs..,Statement
lmao,Other
JOIN,Other
tennessee here,Statement
.ACTION watches 10-24-40sUser13.,Other
good,Statement
what grade do you teach?,whQuestion
JOIN,Other
yes.,Other
i want daughters 10-19-20sUser115!,Other
I was 10-19-30sUser31,Statement
lol....,Other
i want sum @11-09-adultsUser22,Statement
PART,Other
hey 11-06-adultsUser51,Other
PART,Other
Have you ever had trouble learning a new machine or procedure?,ynQuestion
ohhh sorry,Statement
hi 11-06-adultsUser99,Other
What techniques or approaches have you found to be the most effective when training employees?,whQuestion
PART,Other
((((((((( 11-08-adultsUser3))))))),Other
JOIN,Other
lol,Other
or come,Other
It scrolls the room hon,Statement
aww 11-09-20sUser156 i'm sure someone does,Statement
shane,Statement
lol,Other
hi 10-19-40sUser34,Other
hmmm... u eva thought of seeing a psychologist? u seem to have an unusual and disturbing fettish for killing 11-08-teensUser119,Statement
JOIN,Other
e'wjfghky,Other
Hummmm...,Statement
JOIN,Other
Hi 10-19-40sUser20!!!!,Other
hi sean,Other
I can tell you my love for you will still be strong after the boys of summer have goneee.,Statement
hahahah,Other
it's weird thing..,Statement
Get set,Statement
u shut the fuck up,Other
"wow, i come in and everyone leaves, is it me ?? *grins* ",Statement
don't expect me to lie! lol,Statement
JOIN,Other
PART,Other
11-06-adultsUser42 my new phone bone buddyyyyyy,Statement
afk,Other
JOIN,Other
"10-19-30sUser11, how is brooklyn",whQuestion
PART,Other
hi 11-08-40sUser39,Other
"u got that right, i dont do shit, im the supervisor",Other
"lol, yup",Other
PART,Other
I have no idea what you're talking about,Statement
well it is evil,Statement
any florida women here,ynQuestion
;),Other
anyone seen sweetshybbw??,ynQuestion
"Indeed, 11-09-teensUser156.",Other
don't take away my last hope 10-26-teensUser66.,Statement
i donno ok,Other
PART,Other
any naughty guys out there? pm,ynQuestion
hows your day goin 10-19-40sUser13,whQuestion
oh ny gosh,Other
j/k 11-08-40sUser34....,Statement
"please don""t say a prison....lol",Statement
10-19-40sUser3 has an awesome pic,Statement
lets kill em!,Other
PART,Other
i am okay  ,Statement
haha,Other
11-08-adultsUser12 deop,Statement
JOIN,Other
How cool are ya' 10-19-adultsUser41?,whQuestion
gettysburg address?,ynQuestion
.wz 33982,Other
ima call you 11-08-20sUser121,Statement
PART,Other
no   the police were fantastic and all injureis  either in full casts or half casts,Other
damn,Other
I wonder if it was a dreammm.,Other
<empty>,Other
Hey 10-19-30sUser42 hon :),Other
PART,Other
hii 10-24-40sUser52,Other
LOLOLOLLL 10-19-20sUser12,Other
JOIN,Other
"sand in your bikini, true gritt",Statement
":-o 10-19-40sUser20, you are cut off!",Other
to^,Statement
props.,Statement
sigh,Other
JOIN,Other
ewwwwwww fruit punch,Statement
hey guys,Other
ok i am gonna go goof off at work somemore,Statement
PART,Other
thanks 11-08-40sUser7..,Statement
"thx, i guess 11-08-adultsUser28~ u try watching your ex die in front of u",Statement
PART,Other
kewl 11-08-adultsUser39,Statement
JOIN,Other
"my kids had a party once, one kid almost went into my china closet",Statement
chatting sucks,Statement
waz up  ,Other
alo,Other
